table_name,column_name,data_type,null_count,null_pct,distinct_count,sample_value
lead_log,id,int64,0,0.0,8,1
lead_log,lead_id,str,0,0.0,5,774656feb3119be1d8d6d893429c7cc0
lead_log,source_category,str,0,0.0,2,Online
lead_log,created_at,str,0,0.0,5,2024-05-13T06:38:58.322Z
lead_log,preferred_location,str,0,0.0,3,GAJAH MADA
lead_log,timezone_location,str,0,0.0,1,Asia/Jakarta
lead_log,current_status,str,0,0.0,5,Fresh
paid_transactions,transaction_id,str,0,0.0,14,1d1eb8a9e864a1cccb2d850398461807
paid_transactions,transaction_status,str,0,0.0,1,PAID
paid_transactions,transaction_at,str,0,0.0,14,2024-05-02T04:49:01.497Z
paid_transactions,transaction_location,str,0,0.0,6,ARTERI PONDOK INDAH
paid_transactions,timezone_transaction,str,0,0.0,2,Asia/Jakarta
paid_transactions,transaction_type,str,0,0.0,2,NEW
referral_rewards,id,int64,0,0.0,3,1
referral_rewards,reward_value,str,0,0.0,3,10 days
referral_rewards,created_at,str,0,0.0,3,2024-03-13T02:44:32Z
referral_rewards,reward_type,int64,0,0.0,1,1
user_logs,id,int64,0,0.0,29,1
user_logs,user_id,str,0,0.0,9,d0a0d9ca8dc4f47226a8afd32ee2a848
user_logs,name,str,0,0.0,7,49452c26f7b12cd571bd598a0128819e
user_logs,phone_number,str,0,0.0,9,f495c5b0268d9896b8478ab32bfa02eb
user_logs,homeclub,str,0,0.0,6,BENHIL
user_logs,timezone_homeclub,str,0,0.0,2,Asia/Jakarta
user_logs,membership_expired_date,str,0,0.0,9,2024-09-02
user_logs,is_deleted,bool,0,0.0,2,True
user_referral_logs,id,int64,0,0.0,96,1
user_referral_logs,user_referral_id,str,0,0.0,78,433df86639089a01ce358b27aebdf19f
user_referral_logs,source_transaction_id,str,79,82.29,17,aa7f55497ab7a5842145c6c58e1395c2
user_referral_logs,created_at,str,0,0.0,96,2024-06-02T20:42:09Z
user_referral_logs,is_reward_granted,bool,0,0.0,2,False
user_referral_statuses,id,int64,0,0.0,3,1
user_referral_statuses,description,str,0,0.0,3,Menunggu
user_referral_statuses,created_at,str,0,0.0,2,2024-03-08T08:49:37Z
user_referrals,referral_at,str,0,0.0,44,2024-05-01T05:17:31Z
user_referrals,referral_id,str,0,0.0,46,9331c8f144dad5a3b8e4a10467b4343a
user_referrals,referee_id,str,3,6.52,37,f1327c9d6d4efee6ad69e7e467b605b9
user_referrals,referee_name,str,3,6.52,35,8ef43a9189c084778dadf266d6ee6071
user_referrals,referee_phone,str,0,0.0,33,5ba638fed7578e677c7600f1038f1b77
user_referrals,referral_reward_id,float64,38,82.61,3,2.0
user_referrals,referral_source,str,0,0.0,3,Draft Transaction
user_referrals,referrer_id,str,13,28.26,13,2c71c5d66c7e12a0b3c200ba6ed3b78e
user_referrals,transaction_id,str,13,28.26,27,bc3a22d1b0c651d0c807a9bdaed08e8d
user_referrals,updated_at,str,0,0.0,40,2024-05-01T05:17:31Z
user_referrals,user_referral_status_id,int64,0,0.0,3,1
